# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
Colorado River Below Big Bend,AZ,35.0917,-114.6328,US/Mountain,,,,0,,,,stream,,LC,bbblc,488.4
Colorado River Below Interstate Bridge,AZ,33.6006,-114.5497,US/Mountain,,,,0,,,,stream,,LC,biblc,
Colorado River Below McIntyre Park,AZ,33.5164,-114.5692,US/Mountain,,,,0,,,,stream,,LC,bmplc,
Colorado River Below Needles Bridge,CA,34.8181,-114.5908,US/Pacific,,,,0,,,,stream,,LC,bnblc,
Colorado River Below Oxbow Bridge,AZ,33.3683,-114.7264,US/Mountain,,,,0,,,,stream,,LC,boblc,
Colorado River at Cibola Gage,AZ,33.2322,-114.6817,US/Mountain,,,,0,,,,stream,,LC,clc,214.5
COLORADO RIVER NEAR CAMEO; CO (CCAC),CO,39.23889,-108.26667,,,,,0,,,,stream,,GP,colcamco,
COLORADO RIVER BELOW GRANBY RESERVOIR; CO (CGBC),CO,40.08308333,-106.0867222,,,,,0,,,,stream,,GP,colgbyco,
COLORADO RIVER BELOW GLENWOOD SPRINGS; CO,CO,39.555,-107.33694,,,,,0,,,,stream,,GP,colgleco,
COLORADO RIVER NEAR GRANBY RESERVOIR; CO,CO,40.12083,-105.9,,,,,0,,,,stream,,GP,colngbco,
COLORADO RIVER NEAR PALISADE; COLORADO (CGVC),CO,39.09944,-108.3575,,,,,0,,,,stream,,GP,colpalco,
COLORADO RIVER NEAR COLORADO-UTAH STATE LINE (CCUC),CO,39.13277,-109.02639,,,,,0,,,,stream,,GP,colutaco,
Colorado River at Parker Gage,CA,34.1428,-114.3189,US/Pacific,,,,0,,,,stream,,LC,pglc,347.3
Colorado River at River Section 41,AZ,34.6986,-114.4664,US/Mountain,,,,0,,,,stream,,LC,rs41lc,455.3
Colorado River at Taylor Ferry,AZ,33.4508,-114.6353,US/Mountain,,,,0,,,,stream,,LC,tflc,236
Colorado River at Water Wheel,AZ,33.9206,-114.5356,US/Mountain,,,,0,,,,stream,,LC,wwlc,305.91
# SERIES DATA #
Site,Site ID,Parameter,Date,Value,Units
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Stream Gage Height,2017-10-01 00:00:00,5.22,Feet
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Stream Gage Height,2017-10-02 00:00:00,5.22,Feet
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Stream Gage Height,2017-10-03 00:00:00,5.22,Feet
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Stream Gage Height,2017-10-04 00:00:00,5.22,Feet
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Stream Gage Height,2017-10-05 00:00:00,5.22,Feet
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Stream Gage Height,2017-10-06 00:00:00,5.22,Feet
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Stream Gage Height,2017-10-07 00:00:00,5.22,Feet
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Stream Gage Height,2017-10-08 00:00:00,5.21,Feet
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Stream Gage Height,2017-10-09 00:00:00,5.21,Feet
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Stream Gage Height,2017-10-10 00:00:00,5.21,Feet
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Stream Gage Height,2017-10-11 00:00:00,5.21,Feet
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Stream Gage Height,2017-10-12 00:00:00,5.21,Feet
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Stream Gage Height,2017-10-13 00:00:00,5.21,Feet
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Stream Gage Height,2017-10-14 00:00:00,5.21,Feet
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Stream Gage Height,2017-10-15 00:00:00,5.21,Feet
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Stream Gage Height,2017-10-16 00:00:00,5.21,Feet
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Stream Gage Height,2017-10-17 00:00:00,5.21,Feet
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Stream Gage Height,2017-10-18 00:00:00,5.21,Feet
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Stream Gage Height,2017-10-19 00:00:00,5.21,Feet
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Stream Gage Height,2017-10-20 00:00:00,5.21,Feet
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Stream Gage Height,2017-10-21 00:00:00,5.21,Feet
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Stream Gage Height,2017-10-22 00:00:00,5.21,Feet
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Stream Gage Height,2017-10-23 00:00:00,5.21,Feet
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Stream Gage Height,2017-10-24 00:00:00,5.21,Feet
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Stream Gage Height,2017-10-25 00:00:00,5.21,Feet
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-01 00:00:00,3447.33,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-02 00:00:00,3447.33,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-03 00:00:00,3447.33,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-04 00:00:00,3447.33,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-05 00:00:00,3447.33,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-06 00:00:00,3447.33,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-07 00:00:00,3444.71,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-08 00:00:00,3435.29,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-09 00:00:00,3436.65,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-10 00:00:00,3430.43,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-11 00:00:00,3432.38,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-12 00:00:00,3432.77,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-13 00:00:00,3434.51,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-14 00:00:00,3436.65,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-15 00:00:00,3433.74,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-16 00:00:00,3431.79,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-17 00:00:00,3425.78,cubic feet per second
COLORADO RIVER NEAR CAMEO; CO (CCAC),colcamco,Streamflow,2017-10-18 00:00:00,3425.59,cubic feet per second
